🕘️更新时间,#genre#
2025-07-06 19:01:40,http://106.46.113.168:8888/hls/1/index.m3u8

央视频道,#genre#
CCTV-1,http://106.46.113.168:8888/hls/1/index.m3u8
CCTV-1,http://42.48.106.2:9003/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://ali-m-l.cztv.com/channels/lantian/channel15/1080p.m3u8
CCTV-1,http://60.26.181.220:4022/rtp/225.1.1.120:5002
CCTV-1,http://114.246.201.137:7088/rtp/239.3.1.129:8008
CCTV-2,http://106.46.113.168:8888/hls/2/index.m3u8
CCTV-2,http://27.18.157.225:2701/rtp/239.69.1.102:10250
CCTV-2,http://222.218.122.114:8188/udp/239.81.0.115:4056
CCTV-3,http://106.46.113.168:8888/hls/3/index.m3u8
CCTV-3,http://111.196.134.250:20000/udp/239.3.1.172:8001
CCTV-4,http://106.46.113.168:8888/hls/4/index.m3u8
CCTV-4,http://web9916.w.computerqwq.cf/jzb.php?id=cctv4&公众号【医工学习日志】
CCTV-4,http://220.169.100.41:10087/udp/239.76.253.154:9000
CCTV-4,http://60.26.181.220:4022/rtp/225.1.1.150:5002
CCTV-5,http://106.46.113.168:8888/hls/5/index.m3u8
CCTV-5,http://60.26.181.220:4022/rtp/225.1.1.160:5002
CCTV-5,http://117.8.140.147:8834/rtp/225.1.1.160:5002
CCTV-5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8
CCTV-5+,http://60.26.181.220:4022/rtp/225.1.1.121:5002
CCTV-5+,http://111.196.134.250:20000/udp/239.3.1.130:8004
CCTV-5+,http://117.8.140.147:8834/rtp/225.1.1.121:5002
CCTV-6,http://106.46.113.168:8888/hls/6/index.m3u8
CCTV-6,http://60.26.181.220:4022/rtp/225.1.1.195:5002
CCTV-6,http://111.196.134.250:20000/udp/239.3.1.174:8001
CCTV-6,http://117.8.140.147:8834/rtp/225.1.1.195:5002
CCTV-7,http://111.196.134.250:20000/udp/239.3.1.61:8104
CCTV-8,http://106.46.113.168:8888/hls/8/index.m3u8
